task,arm,solved,tokens_total,fresh_tokens,cost_usd,tool_calls,file_reads,mcp_calls,wall_s
D1,A,True,2414280,176351,3.0901316999999993,98,54,0,379.6
D2,A,False,234860,3633,0.47312865,24,0,0,75.7
D3,A,True,81001,7754,1.7691509999999997,61,24,0,292.1
D4,A,True,107789,13850,2.24383665,69,42,0,391.8
D5,A,True,183156,10536,1.3065806999999996,66,21,0,371.4
F1,A,True,1052344,77996,0.91071465,27,15,0,128.9
F2,A,True,60158,3729,1.00475415,36,12,0,132.5
F3,A,True,1272301,49639,1.0377793499999999,39,13,0,185.2
F4,A,False,569179,14329,0.43582410000000005,21,8,0,102.1
F5,A,True,60306,4132,2.4480207000000003,99,56,0,290.6
F6,A,True,83794,6851,1.5148477500000002,63,36,0,170.1
D1,B,True,894268,80674,0.8551872,20,5,9,206.7
D2,B,False,0,0,None,78,12,13,1200.0
D3,B,True,243426,8947,0.7708234500000001,34,16,0,247.1
D4,B,True,1469016,80981,1.4112075,53,13,15,212.4
D5,B,True,211592,11320,0.6707944500000003,33,15,4,159.1
F1,B,True,122875,9559,1.1907430500000005,58,23,14,239.0
F2,B,True,1233759,43492,0.88481415,35,9,8,128.0
F3,B,True,38150,3825,0.50042925,22,7,9,130.9
F4,B,True,231027,21496,0.21447929999999998,11,3,3,54.6
F5,B,True,283695,10100,0.7509330000000001,32,16,6,183.1
F6,B,True,1105608,68071,0.7997301,23,12,2,166.4
