task,arm,solved,tokens_total,fresh_tokens,cost_usd,tool_calls,file_reads,mcp_calls,wall_s
D1,A,True,1151897,72174,0.9192759000000001,20,7,0,254.8
D2,A,False,0,0,None,107,42,0,1200.0
D3,A,True,979945,58328,0.8123331,29,7,0,279.0
D4,A,True,1314347,72460,1.12172325,29,13,0,253.3
D5,A,False,110323,2210,0.19584315000000002,11,0,0,68.3
F1,A,True,620001,22366,1.4426566499999995,50,33,0,269.3
F2,A,True,216147,7191,0.9820399500000001,28,16,0,165.0
F3,A,True,81649,6940,0.7818015,50,13,0,204.4
F4,A,True,199571,7544,0.41227484999999997,25,8,0,103.1
F5,A,True,155610,7720,0.79774485,40,19,0,209.8
F6,A,True,761364,66519,0.91941585,31,15,0,192.1
D1,B,True,907955,76082,0.8070459,20,4,4,190.3
D2,B,True,975250,70183,1.4381059499999995,37,10,14,354.5
D3,B,True,625825,83370,1.42959825,37,15,6,225.2
D4,B,True,105417,7845,2.1169314,67,14,25,360.6
D5,B,True,706238,62263,0.6392685,20,5,7,119.7
F1,B,True,1707487,100477,1.1996550000000001,27,10,8,223.3
F2,B,True,587660,43106,0.45952019999999993,15,6,4,81.2
F3,B,True,212219,33480,0.2724087,7,2,2,37.1
F4,B,True,75964,5403,0.3731308499999999,16,8,2,73.3
F5,B,True,80387,3206,1.3152130499999999,47,8,19,139.1
F6,B,True,569277,52660,0.7876887,31,15,4,179.7
